movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Superman II,6.8,1980,PG,Action,Richard Lester,Margot Kidder,"Action, Adventure, Romance, Sci-Fi",116.0,Action,Adventure,Romance,Sci-Fi,,,,,4,1980,Average,Medium
Heavens Gate,6.8,1980,R,Adventure,Michael Cimino,Jeff Bridges,"Adventure, Drama, Western",150.5,Adventure,Drama,Western,,,,,,3,1980,Average,Long
Raise the Titanic,4.7,1980,PG,Action,Jerry Jameson,M. Emmet Walsh,"Action, Adventure, Drama, Thriller",119.0,Action,Adventure,Drama,Thriller,,,,,4,1980,Poor,Medium
Flash Gordon,6.4,1980,PG,Action,Mike Hodges,Brian Blessed,"Action, Adventure, Sci-Fi",111.0,Action,Adventure,Sci-Fi,,,,,,3,1980,Average,Medium
Lion of the Desert,8.4,1980,PG,Biography,Moustapha Akkad,Oliver Reed,"Biography, Drama, History, War",150.5,Biography,Drama,History,War,,,,,4,1980,Excellent,Long
The Blues Brothers,7.9,1980,R,Action,John Landis,John Belushi,"Action, Comedy, Crime, Music",148.0,Action,Comedy,Crime,Music,,,,,4,1980,Good,Long
Star Wars: Episode V - The Empire Strikes Back,8.8,1980,PG,Action,Irvin Kershner,Harrison Ford,"Action, Adventure, Fantasy, Sci-Fi",127.0,Action,Adventure,Fantasy,Sci-Fi,,,,,4,1980,Excellent,Long
Cant Stop the Music,4.5,1980,PG,Biography,Nancy Walker,Steve Guttenberg,"Biography, Comedy, Musical",124.0,Biography,Comedy,Musical,,,,,,3,1980,Poor,Long
The Shining,8.4,1980,R,Drama,Stanley Kubrick,Scatman Crothers,"Drama, Horror",146.0,Drama,Horror,,,,,,,2,1980,Excellent,Long
The Fog,6.8,1980,R,Fantasy,John Carpenter,Jamie Lee Curtis,"Fantasy, Horror",89.0,Fantasy,Horror,,,,,,,2,1980,Average,Short
Raging Bull,8.3,1980,R,Biography,Martin Scorsese,Robert De Niro,"Biography, Drama, Sport",121.0,Biography,Drama,Sport,,,,,,3,1980,Excellent,Long
Private Benjamin,6.1,1980,R,Comedy,Howard Zieff,Eileen Brennan,"Comedy, War",109.0,Comedy,War,,,,,,,2,1980,Average,Medium
Coal Miners Daughter,7.5,1980,PG,Biography,Michael Apted,Sissy Spacek,"Biography, Drama, Music, Musical",124.0,Biography,Drama,Music,Musical,,,,,4,1980,Good,Long
The Long Riders,7.1,1980,R,Western,Walter Hill,Dennis Quaid,Western,100.0,Western,,,,,,,,1,1980,Good,Medium
Dressed to Kill,7.1,1980,X,Mystery,Brian De Palma,Angie Dickinson,"Mystery, Romance, Thriller",104.0,Mystery,Romance,Thriller,,,,,,3,1980,Good,Medium
Ordinary People,7.8,1980,R,Drama,Robert Redford,Adam Baldwin,Drama,124.0,Drama,,,,,,,,1,1980,Good,Long
Caddyshack,7.4,1980,R,Comedy,Harold Ramis,Bill Murray,"Comedy, Sport",98.0,Comedy,Sport,,,,,,,2,1980,Good,Medium
Galaxina,3.4,1980,R,Comedy,William Sachs,Stephen Macht,"Comedy, Sci-Fi",95.0,Comedy,Sci-Fi,,,,,,,2,1980,Poor,Medium
Somewhere in Time,7.3,1980,PG,Drama,Jeannot Szwarc,Teresa Wright,"Drama, Fantasy, Romance",103.0,Drama,Fantasy,Romance,,,,,,3,1980,Good,Medium
The Elephant Man,8.2,1980,PG,Biography,David Lynch,Anthony Hopkins,"Biography, Drama",124.0,Biography,Drama,,,,,,,2,1980,Excellent,Long
Out of the Blue,7.2,1980,R,Drama,Dennis Hopper,Raymond Burr,Drama,94.0,Drama,,,,,,,,1,1980,Good,Medium
The Blue Lagoon,5.7,1980,R,Adventure,Randal Kleiser,Brooke Shields,"Adventure, Drama, Romance",104.0,Adventure,Drama,Romance,,,,,,3,1980,Average,Medium
Airplane!,7.8,1980,PG,Comedy,Jim Abrahams,Peter Graves,Comedy,88.0,Comedy,,,,,,,,1,1980,Good,Short
Inchon,2.7,1981,PG,Drama,Terence Young,Laurence Olivier,"Drama, History, War",140.0,Drama,History,War,,,,,,3,1980,Poor,Long
Reds,7.5,1981,PG,Biography,Warren Beatty,Paul Sorvino,"Biography, Drama, History, Romance",150.5,Biography,Drama,History,Romance,,,,,4,1980,Good,Long
For Your Eyes Only,6.8,1981,PG,Action,John Glen,Julian Glover,"Action, Adventure, Thriller",127.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
Raiders of the Lost Ark,8.5,1981,PG,Action,Steven Spielberg,Harrison Ford,"Action, Adventure",115.0,Action,Adventure,,,,,,,2,1980,Excellent,Medium
Under the Rainbow,5.4,1981,PG,Comedy,Steve Rash,Mako,Comedy,98.0,Comedy,,,,,,,,1,1980,Average,Medium
The Legend of the Lone Ranger,5.0,1981,PG,Action,William A. Fraker,Jason Robards,"Action, Adventure, Western",98.0,Action,Adventure,Western,,,,,,3,1980,Poor,Medium
Blow Out,7.4,1981,R,Mystery,Brian De Palma,Nancy Allen,"Mystery, Thriller",107.0,Mystery,Thriller,,,,,,,2,1980,Good,Medium
Dragonslayer,6.7,1981,PG,Action,Matthew Robbins,Ian McDiarmid,"Action, Adventure, Fantasy",108.0,Action,Adventure,Fantasy,,,,,,3,1980,Average,Medium
Roar,6.4,1981,PG,Adventure,Noel Marshall,Tippi Hedren,"Adventure, Horror, Thriller",102.0,Adventure,Horror,Thriller,,,,,,3,1980,Average,Medium
Quest for Fire,7.4,1981,R,Adventure,Jean-Jacques Annaud,Rae Dawn Chong,"Adventure, Drama, History",100.0,Adventure,Drama,History,,,,,,3,1980,Good,Medium
Time Bandits,7.0,1981,PG,Adventure,Terry Gilliam,Shelley Duvall,"Adventure, Comedy, Fantasy, Sci-Fi",103.0,Adventure,Comedy,Fantasy,Sci-Fi,,,,,4,1980,Average,Medium
The Postman Always Rings Twice,6.6,1981,R,Crime,Bob Rafelson,Anjelica Huston,"Crime, Drama, Romance, Thriller",122.0,Crime,Drama,Romance,Thriller,,,,,4,1980,Average,Long
Das Boot,8.4,1981,R,Adventure,Wolfgang Petersen,Jürgen Prochnow,"Adventure, Drama, Thriller, War",150.5,Adventure,Drama,Thriller,War,,,,,4,1980,Excellent,Long
The Pursuit of D.B. Cooper,5.7,1981,PG,Adventure,Roger Spottiswoode,Robert Duvall,"Adventure, Crime, Thriller",100.0,Adventure,Crime,Thriller,,,,,,3,1980,Average,Medium
History of the World: Part I,6.9,1981,R,Comedy,Mel Brooks,Madeline Kahn,Comedy,92.0,Comedy,,,,,,,,1,1980,Average,Medium
