Method,Model,Features,Accuracy,Precision,Recall,F1,ROC-AUC,CV Mean,CV Std
Baseline,Logistic Regression,123,0.8125,0.7692307692307693,1.0,0.8695652173913043,0.9666666666666667,0.7730769230769231,0.06456245288212398
Baseline,Random Forest,123,1.0,1.0,1.0,1.0,1.0,0.9205128205128205,0.0487516752354655
Baseline,Gradient Boosting,123,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Baseline,SVM,123,0.625,0.625,1.0,0.7692307692307693,0.6166666666666667,0.6461538461538461,0.025122971720853073
Variance Threshold,Logistic Regression,121,0.8125,0.7692307692307693,1.0,0.8695652173913043,0.9666666666666667,0.7730769230769231,0.06456245288212398
Variance Threshold,Random Forest,121,1.0,1.0,1.0,1.0,1.0,0.8871794871794872,0.0655728812950996
Variance Threshold,Gradient Boosting,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Variance Threshold,SVM,121,0.625,0.625,1.0,0.7692307692307693,0.6166666666666667,0.6461538461538461,0.025122971720853073
rfe,Logistic Regression,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rfe,Random Forest,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rfe,Gradient Boosting,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rfe,SVM,10,0.625,0.625,1.0,0.7692307692307693,0.6333333333333334,0.6294871794871795,0.032534814206280786
chi_square,Logistic Regression,10,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,0.03333333333333335
chi_square,Random Forest,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chi_square,Gradient Boosting,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chi_square,SVM,10,0.625,0.625,1.0,0.7692307692307693,0.5,0.6294871794871795,0.032534814206280786
mutual_info,Logistic Regression,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
mutual_info,Random Forest,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
mutual_info,Gradient Boosting,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
mutual_info,SVM,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
lasso,Logistic Regression,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
lasso,Random Forest,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
lasso,Gradient Boosting,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
lasso,SVM,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
tree_based,Logistic Regression,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
tree_based,Random Forest,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
tree_based,Gradient Boosting,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
tree_based,SVM,20,0.625,0.625,1.0,0.7692307692307693,0.5333333333333333,0.6294871794871795,0.032534814206280786
