in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_boring_uninteresting_plot,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_historical,why_do_you_usually_pause_the_movie_feeling_bored_or_uninterested,total_genres_stopped,total_stopping_reasons,why_do_you_usually_choose_to_watch_movies_trailer_or_promotional_material,genre_completion_ratio,why_do_you_usually_choose_to_watch_movies_awards_or_critical_acclaim,why_do_you_usually_pause_the_movie_lost_focus_or_distracted,in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_distractions_or_interruptions,in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_technical_issues_buffering_audio_etc.,genre_completion_ratio_uniform_bins,patience_score,total_multitasking_behaviors,do_you_usually_do_other_things_while_watching_movies_i_chat_or_text_with_others,attention_span_score,why_do_you_usually_pause_the_movie_to_discuss_something_with_others_watching,behavior_cluster,social_influence_score,do_you_usually_do_other_things_while_watching_movies_no_i_usually_focus_only_on_the_movie,total_genres_stopped_quantile_bins,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_romance,why_do_you_usually_choose_to_watch_movies_recently_trending,why_do_you_usually_pause_the_movie_technical_issues_e.g._buffering_audio_video_problems,how_do_you_usually_discover_movies_you_decide_to_watch_reviews_or_ratings,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_action,watch_frequency_score,why_do_you_usually_pause_the_movie_snack_refill,how_do_you_usually_discover_movies_you_decide_to_watch_friend_family_recommendation,why_do_you_usually_choose_to_watch_movies_entertainment,do_you_usually_do_other_things_while_watching_movies_i_scroll_on_my_phone_or_use_social_media,do_you_usually_do_other_things_while_watching_movies_i_do_chores_laundry_cleaning_etc.,why_do_you_usually_pause_the_movie_answering_phone_or_messages,how_do_you_usually_discover_movies_you_decide_to_watch_streaming_platform_suggestion,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_contemporary,how_do_you_usually_discover_movies_you_decide_to_watch_social_media,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_none__no_specific_genre,why_do_you_usually_choose_to_watch_movies_recommendation_from_friends_or_family,which_genres_do_you_find_yourself_stopping_more_often_before_finishing_comedy,genre_completion_ratio_quantile_bins,in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_poor_acting_or_characters,which_genres_do_you_enjoy_watching_the_most_action,is_weekend,in_general_what_are_the_main_reasons_you_stop_watching_movies_before_finishing_not_in_the_right_mood,where_do_you_usually_watch_movies_streaming_at_home_netflix_disney+_etc.,where_do_you_usually_watch_movies_in_a_cinema_theater,how_do_you_usually_discover_movies_you_decide_to_watch_trailer,total_genres_enjoyed_quantile_bins,why_do_you_usually_choose_to_watch_movies_favorite_actors_or_directors,which_genres_do_you_enjoy_watching_the_most_romance,target_dropoff
1,0,1,3,3,0,0.75,0,1,0,0,1.0,0.3333333333333333,2,0,0.5,0,2,4,0,1.0,1,1,0,0,0,2.0,0,1,1,1,1,0,0,0,1,0,1,0,2.0,1,1,0,0,1,0,0,1.0,0,0,1.0
1,0,1,3,4,0,0.75,0,1,1,1,1.0,0.3333333333333333,2,0,0.5,0,2,2,0,1.0,0,1,1,0,1,1.0,0,0,1,1,0,0,0,0,1,0,0,0,2.0,0,0,0,0,1,0,0,1.0,1,1,1.0
0,0,1,3,2,1,0.4285714285714285,0,1,0,1,1.0,1.0,4,1,0.3333333333333333,0,0,4,0,1.0,1,1,1,0,0,1.0,0,1,1,1,1,0,0,0,1,0,1,0,0.0,0,1,0,1,1,0,1,3.0,1,1,1.0
1,1,1,3,3,0,0.6,0,1,1,1,1.0,0.5,2,0,0.5,0,2,5,1,1.0,0,1,1,1,1,2.0,0,1,1,1,0,0,1,0,1,1,1,0,1.0,0,0,0,0,1,0,1,2.0,0,1,1.0
1,1,1,3,4,1,0.4285714285714285,0,1,1,1,1.0,0.3333333333333333,3,0,0.5,1,0,5,0,1.0,1,0,1,0,1,1.0,0,1,1,1,1,0,0,0,1,0,1,0,0.0,0,1,0,0,1,0,1,3.0,0,1,1.0
0,1,0,3,0,0,0.5,0,0,0,0,1.0,1.0,0,0,1.0,0,1,2,0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,1,1,1,1,0,1.0,0,0,0,0,1,0,0,3.0,0,1,0.0
1,0,1,3,4,0,1.0,0,0,1,0,2.0,0.3333333333333333,3,1,0.3333333333333333,0,2,4,0,1.0,1,0,0,1,0,1.0,0,1,1,1,0,0,0,0,1,0,1,1,2.0,0,0,0,1,0,0,0,0.0,1,1,1.0
0,1,0,3,2,0,0.75,1,1,0,1,1.0,1.0,1,0,1.0,0,1,3,0,1.0,0,0,0,0,0,4.0,0,1,1,0,0,1,0,0,1,0,1,0,2.0,1,0,0,0,1,0,1,1.0,1,1,1.0
1,0,0,3,4,0,0.6,1,0,0,0,1.0,0.3333333333333333,4,1,0.25,0,2,2,0,1.0,1,0,0,0,1,3.0,1,0,1,1,0,1,1,0,1,0,0,0,1.0,1,0,0,1,1,1,1,2.0,1,1,0.0
1,1,1,8,6,1,2.0,0,1,1,1,4.0,0.3333333333333333,3,1,0.3333333333333333,1,2,5,0,1.0,0,1,1,0,1,2.0,1,1,1,1,0,1,0,1,1,0,1,0,2.0,1,0,0,1,1,1,1,1.0,1,0,1.0
0,0,0,3,1,0,0.375,0,0,0,0,0.0,1.0,1,0,1.0,0,0,3,0,1.0,0,0,0,1,0,5.0,1,1,1,0,0,1,1,0,1,1,1,0,0.0,0,1,0,1,1,0,1,3.0,1,1,0.0
